viral_video_id,user_name,viral_score,viral_views,before_avg_views,after_avg_views,view_change_pct,before_avg_engagement,after_avg_engagement,engagement_change_pct,posting_frequency_change,hashtag_usage_change,duration_change
7502870337038716177,laubotuoitrieuchau,100.0,6500000.0,5466666.666666667,5300000.0,-3.0487804878048834,1.6602612794612794,1.7174227333053418,3.4429191688798566,9.973334012181079,0.0,1.1666666666666679
7504646887920667921,yennoicomdien,100.0,760500.0,6500000.0,1920166.6666666667,-70.45897435897436,7.0273145293578425,4.351700060267368,-38.07449428814698,2999.9606481481483,0.5,76.16666666666667
7506492735650548998,xiaanchii,100.0,2100000.0,6300000.0,2600000.0,-58.730158730158735,14.249640193009911,22.55665763546798,58.29633120514184,0.0,2.0,-4.0
7495028070202494216,xastorevietnam,100.0,25700000.0,12866666.666666666,26633333.333333332,106.99481865284974,5.533971677164082,5.9262582871221285,7.088699271389764,0.0,-1.0,-4.0
7499277414497815816,levopet,100.0,8000000.0,6566666.666666667,5450000.0,-17.005076142131983,21.036087556234616,13.485248072648625,-35.894695072934766,-71.24643700423815,-0.5,-7.0
7503047581929377042,xkienn_,100.0,2100000.0,2702350.0,1500916.6666666667,-44.458835211328406,14.185652172225906,19.15263015612977,35.014096804295775,723.7980651039031,0.5,-0.666666666666667
7501343870546971912,loiyeuthuong419,100.0,4600000.0,1433333.3333333333,4800000.0,234.88372093023258,16.79530793650794,10.619901360544219,-36.76864157125841,0.0,0.0,1.0
7503150424959077639,chu.q.kien.truc,100.0,1800000.0,4144444.4444444445,2183333.3333333335,-47.31903485254691,4.200407224422336,4.315952968921917,2.750822439971201,437.37721881559554,0.33333333333333304,3.8888888888888893
7508420248073178376,willinvietnam,100.0,10300000.0,929333.3333333334,12433333.333333334,1237.8766140602584,9.806600859022048,6.844364005926962,-30.20656082244681,0.0,1.0,0.0
7504273999753481488,williamfan2.0,100.0,7200000.0,3866666.6666666665,10600000.0,174.1379310344828,8.760833333333332,9.54359404425612,8.934774594381665,0.0,6.0,0.33333333333333215
7506486838522055954,59.23,100.0,5600000.0,2000000.0,6700000.0,235.0,2.9185386904761903,2.843037966292543,-2.5869358672551446,0.0,-2.0,28.0
7489728731976715575,weihanxiao999,100.0,20500000.0,3050000.0,9164600.0,200.47868852459015,3.3456120886532914,3.5472163710166993,6.025931190503309,38.74835961344294,-0.5,0.3333333333333339
7503569911311060242,kt.uye,100.0,3900000.0,1436966.6666666667,4566666.666666667,217.79906748010856,4.900911577556038,5.744857491714634,17.220182425316278,183.33834876543213,0.0,-0.5
7478193910251015442,longvu.nhim,100.0,27000000.0,5088888.888888889,13900000.0,173.14410480349346,6.521059616658388,4.500576150366006,-30.983974768930977,-2.9526987458897933,-2.333333333333333,83.55555555555554
7500944885315325202,longhatnhai,100.0,5300000.0,4222222.222222222,5666666.666666667,34.21052631578949,10.34977612214791,12.610918647247047,21.847260253875692,791.721450617284,-1.666666666666667,-6.333333333333332
7505591870521724167,longcris.7,100.0,3600000.0,3033333.3333333335,3700000.0,21.97802197802197,8.586513162773452,10.676616089773985,24.34169595246306,0.0,0.0,16.0
7506473450823879944,vlogstrucngan1,100.0,5400000.0,6300000.0,7233333.333333333,14.814814814814811,2.9080695498343876,4.5223971515692405,55.51200114270952,0.0,0.0,-20.0
7502018137521392904,engfa32,100.0,5000000.0,5000000.0,5266666.666666667,5.333333333333339,14.570239902523765,10.12129572327044,-30.534460715933072,0.0,0.0,-4.0
7505013168540880146,lougk_signature,100.0,2000000.0,2666666.6666666665,3650000.0,36.87500000000001,1.272451566951567,1.1802878536922015,-7.243003635899768,-61.34245484360249,-1.0,7.333333333333333
7507220735602035986,lyly_sury2109,100.0,6600000.0,6266666.666666667,7966666.666666667,27.127659574468083,5.542351778910252,5.619414512774807,1.3904338255430577,831.2392939814815,0.25,-8.333333333333336
7504529397987282183,lyhai.production,100.0,3300000.0,3200000.0,3300000.0,3.125,1.9871770833333333,2.1123131313131314,6.297176483632358,0.0,0.0,-11.0
7497892260483271943,chulam.pianoman,100.0,7800000.0,2966666.6666666665,8633333.333333334,191.01123595505624,8.961528735632184,7.80340596411676,-12.923272420146123,0.0,3.0,38.0
7506523122556800264,maimo_10,100.0,1300000.0,3338888.888888889,2300000.0,-31.114808652246257,11.620906493961655,10.795879120879121,-7.099509608060499,333.1913580246914,0.0,2.666666666666666
7503534817062014226,_binz_lala_,100.0,11300000.0,2333333.3333333335,20533333.333333332,780.0,3.0981533333333338,5.310471280727086,71.40763252713181,0.0,0.0,-20.0
7501310387267194119,m.oanh21,100.0,7200000.0,6166666.666666667,4366666.666666667,-29.189189189189186,4.359542676767677,6.4322782920782915,47.544794695011824,-56.483636033966945,0.5,2.166666666666668
7502743949040258312,_doanhaimy,100.0,1800000.0,3366666.6666666665,2100000.0,-37.62376237623762,9.104660101396943,5.924589957546478,-34.92793919195887,0.0,2.0,0.6666666666666661
7507621081809800466,caolamnehihi,100.0,1800000.0,5288888.888888889,2566666.6666666665,-51.47058823529412,10.583720848307541,12.886287933094385,21.755742784495784,266.6604938271605,-1.666666666666667,-6.222222222222221
7504887705541692679,maria_na_1016,100.0,2700000.0,5866666.666666667,6700000.0,14.204545454545448,7.0134944255479965,6.274585808248179,-10.535527263102994,100.0,-3.5,31.166666666666664
7507519758196083976,chuthanhhuyen.official,100.0,1900000.0,2644444.4444444445,2433333.3333333335,-7.983193277310921,3.90849999597714,4.593242481203008,17.519316513512752,253.6304012345679,0.3333333333333335,-5.333333333333336
