vid_id,user_name,vid_caption,vid_hashtags_normalized,hashtag_count,vid_duration_sec,user_nfollower,music_id,music_title,initial_views,current_views,initial_growth_rate,current_growth_rate,new_growth_rate,view_growth_per_hour,like_growth_per_hour,comment_growth_per_hour,share_growth_per_hour,initial_engagement_rate,current_engagement_rate,engagement_momentum,time_diff_hours,viral_acceleration,post_hour,post_day,continuing_viral
7.469978541547998e+18,dailysmile007,MAY 5 SECONDS KA PARA NGUMITI Parte 520  #MASAYA #NGITI #mikhalim #dailysmile007 #tiktokshop.philippin #foryou #fyp #fypシ,[],0,6.0,1100000.0,7.469978747115032e+18,nhạc nền - Daily Smile,33400000.0,33400000.0,14794.344583712194,12014.644196564135,-2779.7003871480592,0.0,4.594996771802037,-0.02680414783551188,1.9145819882508486,1.8798053892215567,1.8905419161676646,0.010736526946107938,522.3072222222222,0.0,23,Tuesday,0
7.47e+18,myduyennnnnn_,Tình ce hơn 11 năm cũm cũm đi hee 🤓,['rhyder'],1,14.0,268200.0,7.46e+18,suara asli - Steylland,1100000.0,2900000.0,432.2323052171312,1118.9362817232904,686.7039765061593,68571.42857142857,4841.9047619047615,41.333333333333336,88.91428571428571,4.510090909090909,6.477689655172414,1.9675987460815048,26.25,0.06233766233766233,5,Monday,1
7.471227966043835e+18,tdat21006,valentine cuối ngày,[],0,65.0,1290.0,7.467785494206893e+18,nhạc nền - 🌹𝘿𝘼𝙂𝙊𝙆𝙐𝙕𝙐𝙉🌹,368200.0,369100.0,170.0909109690493,136.78976022466807,-33.30115074438123,1.6867304292416583,0.0,-0.0018741449213796205,0.0018741449213796205,7.931287343834873,7.909509617989705,-0.021777725845168128,533.5766666666667,4.581016918092499e-06,8,Saturday,1
7.471247208604618e+18,saothannong.net,8 năm ăn keo cau và cái kết đắng của chàng trai 18 tuổi,['keocaukhotrungquoc'],1,20.0,206300.0,7.47124725554001e+18,nhạc nền - Sao Thần Nông,14700000.0,15000000.0,6796.820033511456,5561.8217602980485,-1234.9982732134076,561.6064023129863,8.424096034694742,0.18158607008119892,1.6848192069389591,2.3311700680272107,2.323193333333333,-0.007976734693877496,534.1819444444444,3.8204517164148734e-05,9,Saturday,0
7.47152300966524e+18,auaudouyin,Lucy Shimmers And The Prince Of Peace,['reviewphim'],1,341.0,368200.0,7.471523175147326e+18,nhạc nền - Âu Âu - Review phim douyin,11500000.0,11600000.0,5340.77843006657,4331.111840799281,-1009.666589267289,190.4573462837275,2.0950308091210026,0.0,0.5713720388511686,9.98,9.903448275862068,-0.0765517241379321,525.0519444444444,1.6561508372498045e-05,3,Sunday,1
7.471619157163789e+18,hoaa.hanassii,Trend dành cho cặp đôi mùa cưới. Đu trend xách giày nhưng không xách giày :)),[],0,11.0,17600000.0,7.367585048280845e+18,nhạc nền - Quỳnh Như🥋,18800000.0,18800000.0,8756.234353470862,7035.6853119257785,-1720.5490415450831,0.0,0.0,-0.2456906266169078,0.19045785009062619,6.2309255319148935,6.231303191489362,0.0003776595744682254,525.0505555555555,0.0,9,Sunday,0
7.471722937385504e+18,chin.lim.mei,,[],0,263.0,7919.0,7.47172299302293e+18,Unknown,1200000.0,1200000.0,560.5529543476331,450.17913378031676,-110.37382056731633,0.0,0.1905261910003895,-0.005715785730011685,0.06858942876014022,11.156416666666667,11.159166666666668,0.0027500000000006963,524.8622222222223,0.0,16,Sunday,1
7.47182025759474e+18,anhpham5842,,[],0,68.0,3083.0,7.471821093490806e+18,original sound - anh mê game 🔥🔥,5100000.0,5100000.0,2389.0438138403974,1917.2067425529676,-471.8370712874298,0.0,0.1903403338040732,-0.11610760362048464,0.0475850834510183,1.944372549019608,1.9455098039215686,0.0011372549019605938,525.3747222222222,0.0,22,Sunday,1
7.471849061503569e+18,dnkhaii,Ta thấy em xinh khẽ lắc đầu…,[],0,26.0,914800.0,7.469723158954659e+18,Unknown,5000000.0,5100000.0,2343.3826259529105,1918.2493529826427,-425.13327297026785,190.47387254017545,7.999902646687369,0.07618954901607018,0.3809477450803509,11.03046,10.907117647058824,-0.1233423529411759,525.0063888888889,3.809477450803509e-05,0,Monday,1
7.471851240733838e+18,mpm.store.2,,"['lansurong', 'lansurongdamme', 'mualan', 'mualansurong', 'liondancesports', 'liondancechinese', 'liondancedrumming', 'lufuchi', 'mpmstore', 'vietnam', 'liondancetradition', 'liondanceperformance', 'liondancecompetition', 'barongsaishow', 'barongsaiindonesia', 'barongsaijakarta', 'barongsaipontianak', 'barongsaibali', 'barongsaisemarang', 'barongsaipengantarcuan']",20,35.0,74700.0,7.471851314515889e+18,nhạc nền - MPM STORE 2,4700000.0,4700000.0,2170.4136446671127,1767.2247490008183,-403.18889566629446,0.0,2.2265553838783894,0.014168988806498842,0.04250696641949653,4.882510638297872,4.908638297872341,0.02612765957446861,494.0366666666667,0.0,0,Monday,1
7.471897560031104e+18,_phuchoang93,vợ chồng tôi ăn lẩu,[],0,41.0,178500.0,7.47189772831492e+18,nhạc nền - Phuc Hoang,5800000.0,5900000.0,2689.89422970022,2227.948502082251,-461.94572761796917,203.26959137730395,1.6261567310184315,-5.894818149941814,1.6261567310184315,6.6883275862068965,6.553576271186441,-0.13475131502045556,491.9575,3.504648127194896e-05,3,Monday,1
7.471904186767068e+18,mango.v.p,"1 tiếng cuộc đời,đổi lại thì siu đẹp 🤭🖌️","['xh', 'vẽ', 'mango🥭🎨🖌️', 'đạithần', 'đẹp']",5,28.0,3359.0,7.471904223383391e+18,nhạc nền - Mango vẽ đẹp 🥭🎨🖌️,1600000.0,1600000.0,742.0165588209151,604.208564404647,-137.80799441626812,0.0,1.4233251360348647,0.1809656244387185,0.05083304057267374,5.4118125,5.4665625,0.0547500000000003,491.80611111111114,0.0,3,Monday,1
7.471958386515447e+18,mrzero.pkl,,"['trendingvideo', 'viral', 'mrzero', 'viralvideo', 'trending', 'spiderman']",6,18.0,463100.0,7.395172599740926e+18,Unknown,23100000.0,23200000.0,10799.886390805501,8747.871817283436,-2052.014573522065,194.87015152236893,0.0,-0.025333119697907962,0.19487015152236892,6.598714285714285,6.571939655172414,-0.02677463054187168,513.1622222222222,8.435937295340646e-06,7,Monday,0
7.471959916333387e+18,melayu.takraw,😳😳,['melayutakraw'],1,18.0,79700.0,7.471959948382293e+18,เสียงต้นฉบับ - Melayu Takraw,42800000.0,43000000.0,20221.3773608504,16221.176368512432,-4000.20099233797,374.33282971703557,3.36899546745332,-0.014973313188681423,0.0,1.7274369158878504,1.7235697674418606,-0.0038671484459897876,534.2838888888889,8.746094152267185e-06,7,Monday,0
7.471973250025786e+18,necteam,Cơm Chó Real,"['nec', 'funny', 'comedy', 'viral', 'trending', 'fyp', 'foryou', 'bruh']",8,63.0,709400.0,7.471973812511297e+18,nhạc nền - NEC,1500000.0,1500000.0,708.4291789909292,566.5320558525069,-141.89712313842233,0.0,1.6970654386337996,0.06976824581050065,0.026398795712081327,3.3501999999999996,3.417866666666667,0.06766666666666721,530.3272222222222,0.0,8,Monday,1
7.471975794441539e+18,myxinhiu_ne,Chuyện chưa kể =)),['vaiiucuamy'],1,6.0,65300.0,7.471975821541461e+18,Unknown,22200000.0,22300000.0,10488.563371290942,8425.266480012242,-2063.2968912787,188.6047128126516,3.0176754050024255,-0.11882096907197051,0.5658141384379548,2.9420540540540543,2.9375470852017935,-0.004506968852260762,530.2094444444444,8.495707784353676e-06,8,Monday,0
7.471998646016347e+18,mini_anti_official,Xứng đáng chunk thân,"['tiktokgiaitri', 'vtmgr', 'minianti']",3,26.0,279700.0,7.471998703349747e+18,nhạc nền - MiNi Anti,10200000.0,10200000.0,4723.322873076906,3858.3680511153907,-864.9548219615153,0.0,4.131309068395543,-0.0020656545341977716,0.4131309068395543,3.9726666666666666,3.9971666666666668,0.02450000000000019,484.10805555555555,0.0,9,Monday,1
7.472199649743343e+18,mtasgtraa,🥀,"['kdrama', 'kimsaeron']",2,27.0,159300.0,7.395666252899388e+18,forever young,2100000.0,2100000.0,995.5121626961841,797.1062932807102,-198.40586941547383,0.0,0.952267587192001,-0.013331746220688013,0.026663492441376026,10.072619047619048,10.096761904761903,0.02414285714285569,525.0625,0.0,22,Monday,1
7.472210643689475e+18,rabxcx,amnse characters glow up,"['ashbin', 'jayri', 'kurtdelosreyes', 'ashtineolviga', 'rabinangeles', 'yanyandejesus1', 'amnse', 'angmutyangsectione', 'fyp', 'foryou', 'fyppppppppppppppppppppppp', 'fyp', 'fyp']",13,47.0,165800.0,7.472210711377743e+18,original sound - rabin'sbaby_,6100000.0,6200000.0,2827.3504700470153,2350.8792625485553,-476.47120749846,208.41800314711185,19.17445628953429,0.20841800314711184,0.4168360062942237,16.187131147540985,16.09701612903226,-0.09011501850872605,479.805,3.4166885761821614e-05,23,Monday,1
7.472210971105218e+18,mariecuriea1,,['tongtaibadao'],1,7.0,497.0,7.367978265918393e+18,suara asli - willwill,875600.0,885100.0,410.1841258472631,335.40391500355577,-74.78021084370732,18.8396121023024,0.793246825360101,-0.0019831170634002524,0.3966234126800505,13.357126541799907,13.285843407524572,-0.07128313427533506,504.25666666666666,2.1516231272615806e-05,23,Monday,1
7.472225366837431e+18,truonggiang202299,Đá vậy còn gì để nói!?,"['bongda', 'football', 'bongdaphui', 'futsal', 'nhac', 'trend', 'xuhuong']",7,5.0,9729.0,7.439843841446415e+18,nhạc nền - Yuki,6200000.0,6300000.0,2863.3195931623104,2389.4988479201984,-473.820745242112,212.221481412051,0.424442962824102,-0.01485550369884357,0.04032208146828969,1.8598548387096774,1.833746031746032,-0.02610880696364548,471.2058333333333,3.4229271195492096e-05,0,Tuesday,1
7.47222985699076e+18,lucia_fuong,lạy mẹ hả con🥰,[],0,21.0,246800.0,7.460143932387659e+18,nhạc nền,1700000.0,1700000.0,788.0898504844178,647.2936883577038,-140.79616212671397,0.0,1.2787587515052057,0.014918852100894065,0.021312645858420094,7.082470588235294,7.121529411764706,0.03905882352941159,469.205,0.0,0,Tuesday,1
7.472236769501531e+18,gdchanhchanh,Thế là mất vợ 😢,"['xuhuong', 'xuhuongtiktok']",2,58.0,898400.0,7.472236823381577e+18,nhạc nền - GĐHoàng Chanh Khải,15200000.0,15500000.0,7300.821462493831,5884.621553976691,-1416.19990851714,543.4520071494131,14.673204193034154,0.21919230955026328,0.18115066904980437,4.035723684210526,4.013232258064516,-0.022491426146010518,552.0266666666666,3.5753421522987706e-05,1,Tuesday,0
7.472257884844264e+18,beyeucuaanh123456,,"['caphetuongvi', '68kiengiang']",2,26.0,414200.0,7.25274465061464e+18,original sound - Djremix Thai ᵡ᷼ᵡ,15000000.0,15600000.0,7147.377197140149,5933.868431048629,-1213.5087660915206,1131.42555429376,13.199964800093866,0.5355414290323797,0.7674836676626005,1.8448066666666665,1.8270000000000002,-0.017806666666666304,530.3044444444445,7.542837028625066e-05,2,Tuesday,0
7.472262955040525e+18,capttainboy11_06,Anh muốn có 1 1 1 1 =))),"['captainboy', 'bray']",2,15.0,1400000.0,7.468456347148503e+18,Ghệ Mới - Hook,5100000.0,5300000.0,2430.396476295758,2016.2065812871513,-414.18989500860675,377.1622001756947,22.629732010541574,0.0,1.6972299007906262,11.833333333333334,11.652830188679246,-0.18050314465408768,530.2758333333334,7.395337258346954e-05,2,Tuesday,1
7.472273236466699e+18,duy102542359,cũng cũng dii🙄,[],0,12.0,1562.0,7.47111848903985e+18,nhạc nền - Bin⚽️⭐️,2300000.0,2300000.0,1079.215457284965,872.8016966084381,-206.41376067652686,0.0,0.0,-0.02182478336422422,0.0,6.544739130434783,6.543,-0.0017391304347826875,504.01416666666665,0.0,3,Tuesday,1
7.472287708044332e+18,cammiu211024,"Mũ còn chưa kịp tháo á, sợ ắng ốm ngất xỉu😆",[],0,7.0,32000.0,7.46340375326658e+18,Unknown,9300000.0,9300000.0,4390.408557152812,3534.002689768714,-856.4058673840982,0.0,-0.19480909520374595,-0.06428700141723616,0.0,4.7823548387096775,4.779849462365592,-0.0025053763440858745,513.3230555555556,0.0,4,Tuesday,1
7.472309410912669e+18,miaaaxdep,,[],0,9.0,2881.0,7.444452519122193e+18,original sound - vợ Na Jaemin,954300.0,956600.0,448.2405981133991,364.96831527829505,-83.27228283510402,4.674237275122897,0.0,-0.018290493685263507,0.20322770761403897,11.868699570365713,11.847480660673218,-0.021218909692494847,492.0588888888889,4.898079508669073e-06,5,Tuesday,1
