hashtag,trend_score,viral_score,engagement_score,growth_score,total_views,avg_engagement,usage_count
myuyen_1208,34.8978026287945,24.987970933337937,114.99810028076172,0.9839192377779791,991400.0,116.90427678031068,1
lolfanfest2025,32.45212161826759,23.44105099127284,37.49904251098633,0.8799566082533434,689400.0,37.28706121264868,1
09,30.851102212776354,21.75629006525805,30.39975357055664,1.040009755747447,821900.0,30.47232023360506,1
lửa,29.608755148230067,21.066396616606006,47.651432037353516,1.1394738117216692,1900000.0,49.26363157894737,1
anhtuan🍂,29.123297790366195,21.08931333143605,48.568424224853516,1.0387422886401332,2300000.0,48.993391304347824,1
fvpシ,29.031694311613094,20.54861061002912,54.85793685913086,0.8921068999579342,734800.0,83.14221556886227,1
haiduchuongnoi,28.779686399404486,21.06386419315282,36.988956451416016,1.142241231039562,2400000.0,37.290416666666665,1
xuhuonggggggggggggggggggggggggggggggggggggggggg,28.616183581487725,20.59595076110219,35.69747543334961,0.8754970168777019,892200.0,37.51770903384891,1
jung_perses,28.61222896189213,20.59595076110219,32.28969192504883,0.9727081511200337,962800.0,33.3988367262152,1
เพลงเศร้า,28.601026337077336,20.16668570992715,31.362972259521484,0.9448333087699594,1100000.0,30.318636363636365,1
permpoon,28.45353375707359,20.538409658718496,37.49904251098633,0.9031839719092238,689400.0,37.28706121264868,1
gemini_nt,28.380814766646374,20.54861061002912,32.02643585205078,0.8921068999579342,737400.0,32.03783563873068,1
fourthnattawat,28.281658108529644,20.54861061002912,32.02643585205078,0.8921068999579342,737400.0,32.03783563873068,1
skyphasith,28.244789538923847,20.43912787094412,30.16238784790039,0.9727529304021907,821900.0,30.47232023360506,1
porsuppakarn,28.22512584568769,20.44737372985021,30.671260833740234,0.9727529304021907,862300.0,30.821523831613128,1
aroonratanakul,28.115892357901764,20.429208935813175,30.498441696166992,1.003562341599846,821900.0,30.47232023360506,1
geminifourth,28.11024928266885,20.54861061002912,32.02643585205078,0.8921068999579342,737400.0,32.03783563873068,1
mchoiceartist,28.104989879054507,20.538409658718496,54.85793685913086,0.8921068999579342,729500.0,32.117066483893076,1
jasper,27.900352480727406,20.008353682164444,31.77420425415039,1.1304825860832484,1500000.0,31.4212,1
myalienz,27.82847639118826,20.16668570992715,31.735000610351562,1.0303679808243629,1100000.0,32.063818181818185,1
