music_id,music_title,trend_score,popularity_score,viral_probability,emerging_score,current_views,current_engagement_rate
7.497685696774442e+18,kori,152370509.88473588,344049178.9007403,0.00013526423391302397,0.0,1000000000.0,5.09103
6.86548031630423e+18,anything,102620036.91312087,227157599.12309265,0.00013526423391302468,0.0,261300000.0,20.82491389207807
7.298702778930597e+18,오리지널 사운드 - 가끔,94983857.64548329,227157599.12309265,0.00013526423391302373,0.0,223300000.0,9.064711150918047
7.363609946250104e+18,dźwięk oryginalny,94806758.96132225,227157599.12309265,0.00013526423391302397,0.0,127800000.0,7.594679186228483
7.504200357698997e+18,original sound - vmornmdd9yh,94502525.48717624,227157599.12309265,0.00013526423391302397,0.0,217600000.0,5.069347426470588
7.501116867017264e+18,sonido original,93539897.76429272,227157599.12309265,0.00013526423391302468,0.0,133100000.0,13.055071374906085
7.468711641658526e+18,Shake It To The Max (FLY) (Remix),68164604.09255983,166915131.57202244,0.00013526423391302468,0.0,226233200.0,16.312739447184892
7.47915054203149e+18,Різні,67851200.73306638,164942145.01506376,0.00013526423391302468,0.0,147600000.0,12.245867208672086
7.212791616833063e+18,Shake Body,66507184.60192593,164290480.69660926,0.00013526423391302397,0.0,224000000.0,9.368303571428571
7.491297872776842e+18,Unknown,66378447.585546635,164290480.69660926,0.00013526423391302373,0.0,137600000.0,7.841569767441861
7.440822598885608e+18,Dame Tu Cosita,66203297.57760032,163291779.18615073,0.00013526423391302397,0.0,140600000.0,10.566284758364313
7.474209817062575e+18,Anxiety,66196836.33113814,164290480.69660926,0.00013526423391302397,0.0,341100000.0,5.687783319005301
7.341204142337658e+18,sonido original,65888063.81643306,163291779.18615073,0.00013526423391302397,0.0,124600000.0,6.804961279440458
7.326957341822946e+18,original sound,65645307.26112091,161060017.28992838,0.00013526423391302468,0.0,123600000.0,14.761974110032364
7.502733969880894e+18,suara asli - Rambo,65621863.19934967,163291779.18615073,0.00013526423391302397,0.0,116400000.0,3.628694158075602
