music_id,music_title,trend_score,popularity_score,viral_probability,emerging_score,current_views,current_engagement_rate
6.85519574323849e+18,Y Que Fue?,17.87132951612298,28406355.40918498,0.999971686408934,0.0,28604900.0,21.230770543951937
6.705082789319936e+18,Replay,17.728005713434804,11583341.560044969,0.9999732921372761,0.0,11700000.0,19.42985597003029
7.479256487919898e+18,original sound,17.600545041048647,28795327.40971526,0.9999570607139918,0.0,28608700.0,14.468957580279229
7.499328661104184e+18,nhạc nền - Bùi Huyền,17.484202646732633,37114080.140181646,0.9999267306877552,42381.353551525266,37100000.0,1.8633423180592992
6.82e+18,Western Music: Arizona Dreaming,17.408403114384196,15343607.916674947,0.9999256054320834,21343.82040641202,13200000.0,25.86439393939394
7.476847511887728e+18,Just smile,17.38168588224938,21499396.405248605,0.9999716863270621,0.0,22043000.0,17.249123277627003
7.47267917650977e+18,เธอ ๆ เพื่อนเราชอบ (Guess Who?) Verse2,17.260597782804084,15113476.540544918,0.9999755853033042,0.0,15235200.0,25.794747918225482
7.43318017876545e+18,M A K E I T T O T H E M O R N I N G,17.16338751967422,14989485.72639361,0.9999716940133425,0.0,15300000.0,22.66243310119969
7.486112372193562e+18,Đắng Cay Tuổi Đôi Mươi,17.084910264507208,23287195.297716733,0.9999202990263204,114.2690543152476,26170600.0,4.21943684280952
7.418562742053964e+18,Sekaideichibansukinakimi,17.06183255289636,18886863.17372192,0.9999713468502601,309.55431099732635,18600000.0,10.743548387096775
7.468988418253524e+18,EDÖZ,17.042618912413992,11606621.879143674,0.9999716874616245,0.0,12100000.0,27.86983492063492
7.46340375326658e+18,Unknown,16.99814366511107,19875406.07501649,0.9999674444740961,0.0,19978500.0,6.7234786204074934
7.481263663955675e+18,รักแรกพบ (Knock Knock) - From ซองแดงแต่งผี,16.989181055227746,11777215.328477763,0.9999716940133425,0.0,12203600.0,25.40257302486035
7.469067055037598e+18,เลิกกั๊กแล้วรักก่อน (RED FLAG) - From GELBOYS สถานะกั๊กใจ,16.97474506871951,12711297.440017302,0.9999735265479641,0.0,13361200.0,22.039788141503923
7.348819256690544e+18,nhạc nền - Tui Là Cậu Hai,16.956724519213047,20807239.14014846,0.9999203188783388,0.0,20934400.0,3.7068263063491984
