user_name,user_followers,vid_id,vid_caption,vid_postTime,vid_scrapeTime,vid_duration,vid_nview,vid_nlike,vid_ncomment,vid_nshare,vid_nsave,vid_hashtags,vid_url,music_id,music_title,music_nused,music_authorName,music_originality
idolgioitre463,11.9K,7500768043295837458,GenZ p55 : Quả cảnh hay nhất từ trước tới giờ,2025-05-05 01:30:51,2025-05-14 09:30:16,02:57,1.5M,35.5K,285,1829,2021,"baotrang, xuhuong, ước_lên_xu_hướng, tinhtranggioitrehiennay, boypho, xh, genz, xh",https://www.tiktok.com/@idolgioitre463/video/7500768043295837458,7500768135369296656,nhạc nền - lulisi207,1 videos,lulisi207,false
dungpham.sd,2.6M,7475551548576124168,Khi khó khăn bạn bè có giúp đỡ,2025-02-26 02:37:58,2025-05-14 09:30:29,02:27,,124.2K,1495,6133,7390,"dungpham, ombgroup, phimngantiktok",https://www.tiktok.com/@dungpham.sd/video/7475551548576124168,7065705246124247041,Speed Dial (Demo),605K videos,Kayla Grace,false
nar_ze7,55.1K,7490191625264647479,Giống trận shikamaru với temari nhỉ,2025-04-06 13:28:57,2025-05-14 09:30:42,04:11,,32.7K,165,244,1618,"naruto, boruto, anime_amv, kd_anime_amv, edit, fyp, viral, ecchi_gr🗿",https://www.tiktok.com/@nar_ze7/video/7490191625264647479,7490191626766633783,nhạc nền - Nar Ze,1 videos,Nar Ze,false
dieutrinh_1407,1.3M,7501284585456553224,Có lẽ tôi nên im lặng 😩,2025-05-06 10:55:18,2025-05-14 09:30:55,01:53,2.8M,212.7K,3577,23.3K,13.3K,,https://www.tiktok.com/@dieutrinh_1407/video/7501284585456553224,7501284819826232065,nhạc nền - Diệu Trinh,1 videos,Diệu Trinh,false
trangxinhremix,140K,7489063641140956422,Lòng Người Khó Nói Em Ơi - Thar × Đông Remix,2025-04-03 12:31:47,2025-05-14 09:31:07,09:14,5.8M,309K,2801,6485,30.8K,"nhacremmix, tiktok, nhachaymoingay",https://www.tiktok.com/@trangxinhremix/video/7489063641140956422,7489063650762771205,nhạc nền - Trang Xinh Music,1834 videos,Trang Xinh Music,false
sukanenobita,941.5K,7501169315383627016,Pé dâu của ai đây😜,2025-05-06 03:27:59,2025-05-14 09:31:20,00:11,2.8M,223.4K,1376,5522,8830,"suka, xuhuong",https://www.tiktok.com/@sukanenobita/video/7501169315383627016,7501169341237398288,nhạc nền - Suka🧸,445 videos,Suka🧸,false
phuoctruong563,453K,7492400159830199560,,2025-04-12 12:19:11,2025-05-14 09:31:33,08:50,924.6K,15.3K,96,480,1640,,https://www.tiktok.com/@phuoctruong563/video/7492400159830199560,7492400277950794512,nhạc nền - LAN ANH,2 videos,LAN ANH,false
diep_2225,10.5K,7499756255486004501,Hạnh phúc vay mượn (P1),2025-05-02 08:04:36,2025-05-14 09:31:46,05:07,553.2K,9231,464,411,1449,"12cunghoàngđạo, fyp, foryou, xh, fyp, tt, kechuyentiktok",https://www.tiktok.com/@diep_2225/video/7499756255486004501,7499756345265310465,nhạc nền - ღⒿʚɞ☆🐻,1 videos,ღⒿʚɞ☆🐻,false
bffmedia.chupkyyeu,72.5K,7482233555456773384,Lowkey lần đầu đứng cạnh gái kiểu,2025-03-16 02:47:34,2025-05-14 09:31:59,00:12,18.2M,337.9K,4789,10K,12.7K,"kyyeu, hocsinh, bffmedia",https://www.tiktok.com/@bffmedia.chupkyyeu/video/7482233555456773384,7482233629167979281,nhạc nền - KỶ YẾU BFFMEDIA,5 videos,KỶ YẾU BFFMEDIA,false
dvdlvgttag,1934,7497741675905830151,lần đầu tiên bị nhát,2025-04-26 21:47:00,2025-05-14 09:32:12,00:46,2.1M,18.2K,434,668,565,,https://www.tiktok.com/@dvdlvgttag/video/7497741675905830151,7497741720487054081,nhạc nền - 李 老 师,1 videos,李 老 师,false
flopdiban,8962,7502290720066129160,chốt đơn 👌 || xh cho em di Tik,2025-05-09 03:59:37,2025-05-14 09:32:25,00:19,1.8M,134.7K,8519,73.7K,7921,"flopdiban, ddnxuhuong, fyp, viral, xhhhhhhhhhhhhhhhhhhhhhhh, xhuonggggggggggggggggggggggggggggg, xhuonggggggggggggggggggggggggggggg",https://www.tiktok.com/@flopdiban/video/7502290720066129160,7498351079780895504,nhạc nền - .,3321 videos,.,false
,,7499127016210402580,,2025-04-30 15:22:50,2025-05-14 09:32:38,,,3744,,,,,,,,,,
nhanstudio97,58.5K,7499127016210402580,"Khối nữ quân nhạc là khối hoa hậu trong lòng tui đó ạ,",2025-04-30 15:22:50,2025-05-14 09:33:16,00:36,4.2M,303.9K,2200,5510,10.6K,"dieubinh, 30thang4, nhanstudio",https://www.tiktok.com/@nhanstudio97/video/7499127016210402580,,nhạc nền  - nhanstudio97,,,
harrythankkk206,9045,7496386934483324178,hết sẩy luôn :)),2025-04-23 06:09:55,2025-05-14 09:33:26,00:30,1.6M,135.1K,773,42.5K,7093,xuhuong,https://www.tiktok.com/@harrythankkk206/video/7496386934483324178,7460833601672727312,nhạc nền - FB Phạm Thái,799 videos,FB Phạm Thái,false
