user_name,user_followers,vid_id,vid_caption,vid_postTime,vid_scrapeTime,vid_duration,vid_nview,vid_nlike,vid_ncomment,vid_nshare,vid_nsave,vid_hashtags,vid_url,music_id,music_title,music_nused,music_authorName,music_originality
hoaminzy_hoadambut,6.5M,7477145543064521992,Bắc Ninh vốn trọng chữ tình 🥰,2025-03-02 09:43:29,2025-05-15 15:34:35,00:23,40.5M,2.3M,32.2K,56.1K,105.8K,"bacbling, hoaminzy, bacninh, xuanhinh",https://www.tiktok.com/@hoaminzy_hoadambut/video/7477145543064521992,7475700746534570000,Bắc Bling (Bắc Ninh) (Prod. by Masew),70.2K videos,Xuân Hinh|Hoà Minzy|Tuấn Cry,true
benam410,33.6K,7479452835134868757,Ăn sáng 1 phần còn cất dành tiền mua Nguyên liệu tạo bất ngờ tự tay làm Bánh Tặng Mẹ🤣🤣  mắc Đi học cả Ngày tối về làm len lén mà Bị Mẹ la  bày Phá nên Em cọc🤣🤣🤣😂😂 yêu Trai Cưng,2025-03-08 14:56:57,2025-05-15 15:34:50,00:15,30.5M,845.2K,24.1K,249.2K,45.2K,,https://www.tiktok.com/@benam410/video/7479452835134868757,7479452888071244560,nhạc nền - Kẹo Tim Đỏ,74 videos,Kẹo Tim Đỏ,true
tinathaothi,4.5M,7498382042556566791,quá đẹp quá đỗi tự hào Việt Nam mình ơiiii 🇻🇳❤️,2025-04-28 15:11:57,2025-05-15 15:35:03,04:14,36.4M,3.8M,57.4K,652.2K,265K,"tinathaothi, tinathaothidaily",https://www.tiktok.com/@tinathaothi/video/7498382042556566791,7032129404927314715,nhạc nền - Đam Mê Bóng Đá,72.5K videos,Đam Mê Bóng Đá👻💖,false
m.ry.du.da,13K,7499328608528256274,Chỉ vì vài giây lơ là thôi mà em mẹ phải chịu đau đớn.,2025-05-01 04:25:06,2025-05-15 15:35:17,00:14,33.3M,455.7K,28.4K,130.4K,27K,thuongconcuame,https://www.tiktok.com/@m.ry.du.da/video/7499328608528256274,7499328661104184081,nhạc nền - Bùi Huyền,18 videos,Bùi Huyền,true
dilwyn.ne,390.5K,7498337072168602888,Trả lời,2025-04-28 12:17:26,2025-05-15 15:35:30,00:18,3.5M,305.8K,2326,17.9K,8192,"a50, giaiphongmiennam",https://www.tiktok.com/@dilwyn.ne/video/7498337072168602888,7376424694838577937,nhạc nền - CMĐ | 𝑫𝑲𝒉𝒂́𝒏𝒉💞,3968 videos,Nhớ Chú Rồi,false
nhungnohu9,2560,7490757816572071214,,2025-04-08 02:06:03,2025-05-15 15:35:43,01:50,,112.9K,1358,19.5K,5473,"funny, funnyvideos, tiktok, viral",https://www.tiktok.com/@nhungnohu9/video/7490757816572071214,7490757880238852910,nhạc nền - RICHKYI,2 videos,NHUNG NOHU,true
nhacchillquanquen,465.8K,7480847569267035408,Cũng không bất ngờ lắm,2025-03-12 09:09:14,2025-05-15 15:35:57,02:04,,371.4K,24.7K,10.3K,23.5K,"nhacchillquanquen, 1967ent, 1967entertainment, gutlabel, tiktokgiaitri, soundsofvietnam, nhachaymoingay, thuyenquyen, cover",https://www.tiktok.com/@nhacchillquanquen/video/7480847569267035408,7121662726816254746,nhạc nền - Phong DN,72.9K videos,Phong DN,false
