user_name,user_nfollower,vid_id,vid_caption,vid_postTime,vid_scrapeTime,vid_duration,vid_nview,vid_nlike,vid_ncomment,vid_nshare,vid_nsave,vid_hashtags,vid_url,music_id,music_title,music_nused,music_authorName,music_originality
lenguyentravi,304.9K,7506832682593094928,Giấc mơ của chung 🤷🏻🦢,2025-05-21 09:44:45,2025-05-29 15:38:41,00:31,541.2K,21.9K,454,742,1098,xuhuongtiktok,https://www.tiktok.com/@lenguyentravi/video/7506832682593094928,7.506832745952218e+18,nhạc nền - 🦩Trà Vy 👅,3 videos,🦩Trà Vy 👅,True
ongsaucocay,17.4K,7507991840340135186,Đơn giản dễ làm lắm đó quý vị ơi..,2025-05-24 12:42:52,2025-05-29 15:39:47,01:05,1.4M,27.7K,448,10.2K,5047,"suckhoe, thaomoc, thaoduoc, dongy, ongsaucayco",https://www.tiktok.com/@ongsaucocay/video/7507991840340135186,7.507991997681192e+18,nhạc nền - Ông Sáu Cỏ Cây,44 videos,Ông Sáu Cỏ Cây,True
_iamhung081,125.1K,7492318870162787591,Không Nghe Hơi Phí 🗿 | Hãy Đeo Tai Nghe Để Trải Nghiệm Tốt Nhất,2025-04-12 07:03:45,2025-05-29 15:40:55,01:00,553.6K,38.9K,258,752,3635,"nhac, music, trend, hottrend, hungmusic💫, remix, bass, aveeplayer, vairal",https://www.tiktok.com/@_iamhung081/video/7492318870162787591,7.492318903633333e+18,nhạc nền - Hưng Music 🎧✈,302 videos,Hưng Music 🎧✈,True
ngcc.linhh894,1991,7497123500767857938,video này mà đc 100 tym là tôi cưởi luôn áo hai dây,2025-04-25 05:48:10,2025-05-29 15:41:19,00:11,479.5K,12.5K,748,4155,725,uocduoclenxuhuong,https://www.tiktok.com/@ngcc.linhh894/video/7497123500767857938,7.497141076919963e+18,nhạc nền - Nguyệt Nguyệt ✈️🇰🇷,4 videos,Nguyệt Nguyệt ✈️🇰🇷,True
