user_name,user_nfollower,vid_id,vid_caption,vid_postTime,vid_scrapeTime,vid_duration,vid_nview,vid_nlike,vid_ncomment,vid_nshare,vid_nsave,vid_hashtags,vid_url,music_id,music_title,music_nused,music_authorName,music_originality
zinh9889,74.8K,7494924061894610194,,2025-04-19 07:33:13,2025-06-05 11:06:18,00:16,39.6K,2357,86,21,145,"搬啤酒的小女孩, 反差, douyin抖音, douyin, viral, thinhhanh, vinh98, fyp",https://www.tiktok.com/@zinh9889/video/7494924061894610194,7494924091300891409,nhạc nền - Dinh,1 videos,Dinh,true
zinh9889,74.8K,7493185791934418184,,2025-04-14 15:07:50,2025-06-05 11:06:31,00:16,15.4K,1246,45,10,63,"搬啤酒的小女孩, 反差, douyin抖音, douyin, viral, thinhhanh, vinh98, fyp",https://www.tiktok.com/@zinh9889/video/7493185791934418184,7493185824721226512,nhạc nền - Dinh,1 videos,Dinh,true
zinh9889,74.8K,7492076628370050311,,2025-04-11 15:23:43,2025-06-05 11:06:44,00:24,28.7K,2054,75,20,105,"搬啤酒的小女孩, 反差, douyin抖音, douyin, viral, thinhhanh, vinh98, fyp",https://www.tiktok.com/@zinh9889/video/7492076628370050311,7492076652156898065,nhạc nền - Dinh,1 videos,Dinh,true
00.25.d,196.4K,7483761910639234322,Check 🙂‍↕️,2025-03-20 05:38:22,2025-06-05 11:07:47,00:24,,204,3,13,31,"bbnotiktok, lyrics, lyricsvideo, lyrics_songs, musicvideos, lyricsedits, lyricsedit, edits, kenlyrics, fyp, foryou, foryoupage",https://www.tiktok.com/@00.25.d/video/7483761910639234322,7446569853668313089,check,85K videos,bbno$,false
00.25.d,196.4K,7484023067153403143,The Notebook,2025-03-20 22:31:47,2025-06-05 11:08:08,00:13,,118,1,1,6,"lyrics, lyricsvideo, lyrics_songs, musicvideos, lyricsmusic, edits, lyricsedits, lyricsedit, kenlyrics, fyp, foryou, foryoupage",https://www.tiktok.com/@00.25.d/video/7484023067153403143,7449617532300740624,THE NOTEBOOK,532 videos,millkzy,false
00.25.d,196.4K,7484110329635491090,Collide 😍😫,2025-03-21 04:10:25,2025-06-05 11:08:27,00:25,,1002,0,26,109,"lyrics, lyricsvideo, lyrics_songs, musicvideos, lyricsmusic, edits, lyricsedits, lyricsedit, kenlyrics, fyp, foryou, foryoupage",https://www.tiktok.com/@00.25.d/video/7484110329635491090,7078168309778089986,Collide,280.5K videos,justineskye|Tyga,false
00.25.d,196.4K,7484246139873676552,jay silva - McHardy,2025-03-21 12:57:26,2025-06-05 11:08:46,00:14,,94,2,3,7,"lyrics, lyricsvideo, lyrics_songs, musicvideos, lyricsmusic, edits, lyricsedits, lyricsedit, kenlyrics, fyp, foryou, foryoupage",https://www.tiktok.com/@00.25.d/video/7484246139873676552,7261091416243505153,McHardy,12.1K videos,Jay Silva,false
00.25.d,196.4K,7484280837811244296,This song 🤤😮‍💨😩,2025-03-21 15:12:04,2025-06-05 11:09:08,00:24,,152,5,10,13,"lyrics, lyricsvideo, lyrics_songs, musicvideos, lyricsmusic, lyricsedits, lyricsedit, edits, kenlyrics, fyp, foryou, foryoupage, bbnotiktok",https://www.tiktok.com/@00.25.d/video/7484280837811244296,7446569853668313089,check,85K videos,bbno$,false
00.25.d,196.4K,7484386175201938696,Best part,2025-03-21 22:00:50,2025-06-05 11:09:28,00:15,,256.4K,503,14.4K,29K,"danielcaesar, lyrics, lyricsvideo, lyrics_songs, musicvideos, lyricsmusic, lyricsedits, lyricsedit, edits, kenlyrics, fyp, foryou, foryoupage",https://www.tiktok.com/@00.25.d/video/7484386175201938696,7318882037677574918,som original,38.9K videos,★,false
00.25.d,196.4K,7484561450984328456,yung fazo - all in motion,2025-03-22 09:21:00,2025-06-05 11:09:46,00:13,,91,1,5,7,"lyrics, lyricsvideo, lyrics_songs, musicvideos, lyricsmusic, lyricsedits, lyricsedits, kenlyrics, edits, fyp, foryou, foryoupage",https://www.tiktok.com/@00.25.d/video/7484561450984328456,7462131374281082896,ALL IN MOTION,1081 videos,fazo,false
