user_name,user_followers,vid_id,vid_caption,vid_postTime,vid_scrapeTime,vid_duration,vid_nview,vid_nlike,vid_ncomment,vid_nshare,vid_nsave,vid_hashtags,vid_url,music_id,music_title,music_nused,music_authorName,music_originality
hongtienssi_vn,2039,7497230280076430600,Sự khác biệt của anh bán xôi lúc này 👍,2025-04-25 12:42:31,2025-05-15 14:50:28,00:12,3.8M,100.4K,1385,2514,2261,"giaiphongmiennam, dieubinh, hongtientoiluon, thanhcong",https://www.tiktok.com/@hongtienssi_vn/video/7497230280076430600,7.368696692918537e+18,nhạc nền - CHIẾN SĨ CSCĐ VN🇻🇳,6898 videos,CHIẾN SĨ CSCĐ🇻🇳,False
_shortfilmvideo_,56.8K,7483114567489391873,,2025-03-18 11:46:21,2025-05-15 14:50:43,01:07,,198.6K,651,1313,14.4K,"spidermannowayhome, spidermanedit, viralvideo, xuhuong2026, xuhuongtiktok2025, xuhuongtiktok, fpyシ, peterparker, spidermanpeterparker, tomholland, spidermantomholland, spidermanhomecoming, spiderman",https://www.tiktok.com/@_shortfilmvideo_/video/7483114567489391873,6.839860300334762e+18,Nevada (Remix),147.4K videos,,False
mr.huybon,2.3M,7500176902993333511,Cảm ơn người đã đánh thức tôi trong thời điểm đen tối nhất,2025-05-03 11:16:55,2025-05-15 14:50:57,01:55,1.1M,45K,436,600,2304,huyquangtran,https://www.tiktok.com/@mr.huybon/video/7500176902993333511,7.500177121784925e+18,nhạc nền - Huy Quang Trần🇻🇳,2 videos,Huy Quang Trần🇻🇳,False
s.tht.s.tht0,3108,7501362622751689985,"Hiệu trưởng Phạm Thị Dinh, vợ ông Nguyễn Văn Hà nguyên Chủ tịch, Phó Bí thư Huyện ủy Eakar - Đắk Lắk""lộng quyền"" và thách thức pháp luật ? Bà P.T.D là một Đảng viên ""quái thai"" có xứng đáng đứng trong hàng ngũ Đảng? Năm hết, tết đến nên đập phá hệ thống cửa lớp học để kiếm tiền về tiêu tết?",2025-05-06 15:58:07,2025-05-15 14:51:13,03:43,3.8M,100.9K,3559,21.5K,4543,,https://www.tiktok.com/@s.tht.s.tht0/video/7501362622751689985,7.501362869977255e+18,nhạc nền - Sự Thật Sự Thật,2 videos,Sự Thật Sự Thật,False
vanhoa.006,7387,7490276878461308215,⚽️❤️‍🔥,2025-04-06 18:59:46,2025-05-15 14:51:26,00:18,7.7M,207.2K,2319,5108,10.5K,"bongda, damme",https://www.tiktok.com/@vanhoa.006/video/7490276878461308215,7.474143359699815e+18,nhạc nền - Quốc ối giời ơi ✋🤭😆🐷🥶🦄🙃,12.4K videos,Quốc alo📞,False
mnoccutii___,56.4K,7493770760138296583,❤️‍🔥,2025-04-16 04:57:49,2025-05-15 14:51:40,00:15,945.4K,127.9K,806,8598,15.1K,"xh, viral, fypシ゚, xuhuongtiktok, fyp, xuhuong",https://www.tiktok.com/@mnoccutii___/video/7493770760138296583,7.475391728498575e+18,MISERICÓRDIA GALLARDO,6084 videos,Prompto,False
_____tionugroho_____,1M,7480416592640167223,Duo ini > > >,2025-03-11 05:16:50,2025-05-15 14:51:54,00:28,,501.4K,2498,11.2K,47.1K,"onepiece, onepieceedit, luffy, zoro, fyp, furikenn",https://www.tiktok.com/@_____tionugroho_____/video/7480416592640167223,7.47338829666206e+18,Butterfly,3634 videos,furikenn,False
ducmelauriel09876543,89.6K,7473810203641662727,,2025-02-21 10:00:40,2025-05-15 14:52:11,00:12,,80.7K,1340,1899,7005,hoathinh3dtrungquoc,https://www.tiktok.com/@ducmelauriel09876543/video/7473810203641662727,7.473810226903404e+18,nhạc nền - điêu thuyền vdvd,21 videos,điêu thuyền vdvd,False
phuongmychiofficial,4M,7487079558873763090,Tụi nó quên quài….,2025-03-29 04:12:32,2025-05-15 14:52:26,00:00,,512.9K,4369,32.6K,22K,phuongmychi,https://www.tiktok.com/@phuongmychiofficial/video/7487079558873763090,7.348819256690544e+18,nhạc nền - Tui Là Cậu Hai,5246 videos,Trần Anh Kiều,False
mr.mark646,2357,7487079558873763090,,2025-03-29 04:12:32,2025-05-15 14:52:43,00:00,,159K,2316,2493,13.9K,,https://www.tiktok.com/@mr.mark646/video/7487079558873763090,,الصوت الأصلي - 🎧,,,
_tradangditam,3.5M,7502003836551171346,lấy gì giờ 🌝,2025-05-08 09:26:21,2025-05-15 14:52:54,00:16,8.3M,409K,1036,4032,9363,,https://www.tiktok.com/@_tradangditam/video/7502003836551171346,,nhạc nền  - Bích Tiên🫣,,,
hatlive1,1.5M,7500565255483968786,Tí thì cho qua rồi,2025-05-04 12:23:56,2025-05-15 14:53:05,01:14,2.4M,72.3K,145,589,2705,"hatsnowplayer, quarantinezone, quarantinezonegame",https://www.tiktok.com/@hatlive1/video/7500565255483968786,7.500565464587341e+18,nhạc nền - Hat Snow Live,1 videos,Hat Snow Live,False
_17thang_2,1033,7502490657131416840,Anh chọn em rồi đó 🫵🏻.....,2025-05-09 16:55:28,2025-05-15 14:53:20,00:14,1.1M,74K,593,3166,5254,"hieuthuhai, ATSH, concertday6, crocnroll, cherishieuthuhai",https://www.tiktok.com/@_17thang_2/video/7502490657131416840,7.499303010678361e+18,nhạc nền - Công Minh😉,16.1K videos,Công Minh😉,False
