user_name,user_followers,vid_id,vid_caption,vid_postTime,vid_scrapeTime,vid_duration,vid_nview,vid_nlike,vid_ncomment,vid_nshare,vid_nsave,vid_hashtags,vid_url,music_id,music_title,music_nused,music_authorName,music_originality
hongmahongma,53K,7491207504844557576,Hong Hae Pamm,2025-04-09 07:11:05,2025-05-16 03:43:26,00:17,1.6M,157K,329,7894,5342,"pamyeuoi, pammatvuong, chuyennhadau, đậu, pamđậu",https://www.tiktok.com/@hongmahongma/video/7491207504844557576,,nhạc nền  - Pam Yêu Ơi 🌺,,,
dangmukbangbo,20.5K,7501983756643781905,Game này cũng dễ,2025-05-08 08:08:26,2025-05-16 03:43:39,00:16,8.3M,39.1K,854,3881,1838,"chaoxian, laubotrieuchau, xuhuong, fyp, challenge, mukbang",https://www.tiktok.com/@dangmukbangbo/video/7501983756643781905,7306832499580816129,nhạc nền - an nguyễn (dân94),17.6K videos,an nguyễn (dân94),false
copke.geme,10.9K,7498695369165999378,,2025-04-29 11:27:49,2025-05-16 03:44:01,00:10,3.2M,35.1K,716,6226,3238,"vanthuy, copke",https://www.tiktok.com/@copke.geme/video/7498695369165999378,,nhạc nền  - copke geme,,,
hocvoihung,6156,7492681376290983176,Trả lời,2025-04-13 06:30:27,2025-05-16 03:44:12,07:47,662.9K,15.7K,1633,3686,3876,"huyhungofficial, khoinghiep, didonngoai, phunu, live, banhangonline",https://www.tiktok.com/@hocvoihung/video/7492681376290983176,7492681843708939025,nhạc nền - Huyhungshop96,2 videos,Huyhungshop96,false
duynguyenmarketing9,279.1K,7473810125858311431,Bật mí cách làm thêm chi tiết để video dễ lên xu hướng,2025-02-21 10:00:22,2025-05-16 03:44:30,00:40,,126.9K,9521,19.5K,24K,"duynguyenmarketing, xaykenhtiktok, huongdanxaykenhtiktok, hoccungtiktok, learnontiktok",https://www.tiktok.com/@duynguyenmarketing9/video/7473810125858311431,7473810232977279745,nhạc nền - Thầy Duy xây kênh,55 videos,Thầy Duy xây kênh,false
chayngaydi1403,357,7477462560325815559,,2025-03-03 06:13:40,2025-05-16 03:44:52,01:02,673.6K,14.7K,751,2778,446,,https://www.tiktok.com/@chayngaydi1403/video/7477462560325815559,7477462607071300353,nhạc nền - lilycamau,1 videos,chayngaydi1403,true
giaphongpcgovap,1827,7500787636294978823,Thế hệ F2- F3 của VNCH nói gì về ngày quốc hận 30/4..,2025-05-05 02:46:53,2025-05-16 03:45:08,08:31,2.5M,62.3K,5948,38.8K,2845,giaphongpc,https://www.tiktok.com/@giaphongpcgovap/video/7500787636294978823,7500788628404095761,nhạc nền - Gia Phong PC,1 videos,Gia Phong PC,false
phamquynhhoaa,2.7M,7486735472929049864,Tôi tâm sự với Toán Lý Hoá =)))),2025-03-28 05:57:19,2025-05-16 03:45:27,00:13,9.3M,564.5K,2634,17.3K,18.7K,,https://www.tiktok.com/@phamquynhhoaa/video/7486735472929049864,,nhạc nền  - 𝘼𝙧𝙞𝙨 𝙈𝙪𝙨𝙞𝙘,,,
,,7489055222711569719,,2025-04-03 11:59:07,2025-05-16 03:45:46,,,154K,,,,,,,,,,
thuythinh.official,713.2K,7489055222711569719,Hướng nội gặp hướng tùm lum kiểu 🤣,2025-04-03 11:59:07,2025-05-16 03:46:34,00:20,3.9M,138.4K,1350,1640,2780,"giadinhthanhthuyducthinh, thanhthuyducthinh, ducthinh, thanhthuy, xh, fyp, viral, anhphe, daodienducthinh, dienvienthanhthuy",https://www.tiktok.com/@thuythinh.official/video/7489055222711569719,7489055230245915398,nhạc nền - Thanh Thúy - Đức Thịnh,37 videos,Thanh Thúy - Đức Thịnh,false
