user_name,user_followers,vid_id,vid_caption,vid_postTime,vid_scrapeTime,vid_duration,vid_nview,vid_nlike,vid_ncomment,vid_nshare,vid_nsave,vid_hashtags,vid_url,music_id,music_title,music_nused,music_authorName,music_originality
ntthanhtu1983,47.5K,7492306552397794567,Lúc quay lại thấy là mừng lắm nhìn mặt ẻm kìa vừa vui vừa hờn,2025-04-12 06:15:57,2025-05-15 01:09:32,00:23,21.3M,670.1K,8271,21.7K,18.5K,,https://www.tiktok.com/@ntthanhtu1983/video/7492306552397794567,7.339886071554214e+18,Tâm Tình Người Lính,31.7K videos,Nguyễn Thái Học,False
tda0210_,4565,7498908559745322247,uklmmm,2025-04-30 01:15:06,2025-05-15 01:09:48,00:11,5.2M,240.6K,4808,33.5K,16.4K,"capcut, xh, xhhhhhhhhhhhhhhhhhhhhhhh",https://www.tiktok.com/@tda0210_/video/7498908559745322247,,nhạc nền  - 𝗶𝘂ꫂ ၴႅၴ,,,
codongnat_99,4.2M,7486806369249545478,Bắc Bling giọng địa phương Thanh Hoá Remix,2025-03-28 10:32:25,2025-05-15 01:10:00,02:19,17.6M,785.9K,20.8K,50.5K,46.9K,"codongnat, huticouple, bacbling",https://www.tiktok.com/@codongnat_99/video/7486806369249545478,7.486806693461511e+18,Bắc Bling giọng Thanh Hoá Remix,1509 videos,Cô Đồng Nát,False
tin_nguyen_9,5.3M,7497928913105014023,Nhóm The Light,2025-04-27 09:53:34,2025-05-15 01:10:17,00:12,,207.9K,975,2063,6093,"tinnguyen, lightontv, latmat8, vongtaynang",https://www.tiktok.com/@tin_nguyen_9/video/7497928913105014023,,"VÒNG TAY NẮNG (Original Soundtrack From ""Lật Mặt 8: Vòng Tay Nắng"")  [feat. ChuChu, Lý Anh Khoa, Rio, Hạo Nhiên, Cherry Hải My, Bảo Ngọc, Yuno Bigboi, Đoàn Thế Vinh, Hồ Đông Quan, Hồng Thu, Tín Nguyễn & Anh Tú Wilson] - Lý Hải Production",,,
,,7498694541151866120,,2025-04-29 11:24:36,2025-05-15 01:10:31,,,563.5K,,,,,,,,,,
vv.kd27509,10.2K,7498694541151866120,vui nha vui nha,2025-04-29 11:24:36,2025-05-15 01:11:21,00:28,2.6M,250.3K,375,13.2K,17.4K,"vietnam, bodoihanhquan, qdndvn, vietnamtoiyeu",https://www.tiktok.com/@vv.kd27509/video/7498694541151866120,7.498694574651919e+18,nhạc nền - Vk lẻ a Yong🐸,1 videos,KnDye,False
janisvyg,1.3M,7500629248432966913,คนไทยใจดีเกินบรรยายจริง ๆ 🥹 ทุกครั้งที่เจอคืออบอุ่นหัวใจเสมอ 🇹🇭❤️ #ThailandKindness #fyp #iconsiam,2025-05-04 16:32:15,2025-05-15 01:11:36,00:22,,350.4K,867,1275,8478,,https://www.tiktok.com/@janisvyg/video/7500629248432966913,7.500629468491353e+18,original sound - janis_vyg,92 videos,janis_vyg,False
123anhtraisayhi,10.4K,7478680394347351314,,2025-03-06 12:59:29,2025-05-15 01:11:51,00:24,6.9M,302K,5147,16.9K,25.4K,,https://www.tiktok.com/@123anhtraisayhi/video/7478680394347351314,,nhạc nền  - 𝚜𝚘 𝚜𝚊𝚍 𝚌𝚞̛̣𝚌 𝚖𝚊̣𝚗𝚑,,,
tiquauquo,9244,7498024564539149586,,2025-04-27 16:04:45,2025-05-15 01:12:02,00:22,4.6M,399.4K,5229,83.5K,26.6K,capcut,https://www.tiktok.com/@tiquauquo/video/7498024564539149586,7.496933654434778e+18,nhạc nền - Mai_lyy,19.4K videos,Mai_lyy,False
necteam,687.6K,7483103185532439826,Tội Khứa Thủ Môn 🥲,2025-03-18 11:02:11,2025-05-15 01:12:17,00:29,5.8M,117.1K,1169,2535,5667,"nec, funny, viral, foryou, fyp, trending, comedy, football",https://www.tiktok.com/@necteam/video/7483103185532439826,7.483103413400522e+18,nhạc nền - NEC,13 videos,NEC,False
a4.k47nvc,966,7491933151040687367,6/4 mụnnn,2025-04-11 06:06:57,2025-05-15 01:12:31,01:02,680.3K,63.1K,708,4891,3097,"viral, fypシ゚, xh",https://www.tiktok.com/@a4.k47nvc/video/7491933151040687367,7.491933237250477e+18,nhạc nền - 11A4-Lò Chốn,4 videos,a4.k47nvc,True
ceri__ceri,1.5M,7476830772914113800,Cứ thích hơn thua vậy đó 😤😤😤,2025-03-01 13:22:01,2025-05-15 01:12:46,00:42,2.5M,117.8K,950,1226,5915,"thuhaceri, ceri, cerithuha, longvu",https://www.tiktok.com/@ceri__ceri/video/7476830772914113800,7.42699520163986e+18,Funny,99 videos,In Music,False
dnkhaii,859.2K,7482075707598736647,Ánh mắt yêu thương…❤️❤️ |Dc:,2025-03-15 16:35:02,2025-05-15 01:13:01,00:27,5.2M,409.5K,4277,14.3K,26.6K,"xuhuong, xuhuongtiktok",https://www.tiktok.com/@dnkhaii/video/7482075707598736647,7.479396885908737e+18,nhạc nền - 𝐇𝐨à𝐧𝐠 Ú𝐭 𝐌𝐮𝐬𝐢𝐜 ✈,19.5K videos,𝐇𝐨à𝐧𝐠 Ú𝐭 𝐌𝐮𝐬𝐢𝐜 ✈,False
phuong.ntp.16,4094,7499124988377615623,Đu trend?,2025-04-30 15:14:57,2025-05-15 01:13:17,00:17,8.1M,458.8K,10.1K,28.7K,19K,"giaiphongmiennam, 30thang4",https://www.tiktok.com/@phuong.ntp.16/video/7499124988377615623,7.359057533857844e+18,nhạc nền - 👽,1819 videos,xin lỗi màaa,False
thecarest456,62.9K,7502832980969229575,Mia Lê bị đuổi khỏi đêm chung kết Hoa hậu Chuyển giới Việt Nam 2025,2025-05-10 15:03:52,2025-05-15 01:13:31,00:26,20.4M,486.3K,8685,156.2K,17.3K,"miqvn2025, miale, hoahauchuyengioivietnam2025",https://www.tiktok.com/@thecarest456/video/7502832980969229575,7.502833006214794e+18,original sound - TheCarest,15 videos,TheCarest,False
hanoinews.theanh28,4.3M,7501627703422962962,MÓN ĂN ĐẮT ĐỎ ĐẦY THỊ PHI  😅,2025-05-07 09:06:46,2025-05-15 01:13:46,00:25,,292.4K,5405,15.3K,7351,"tiktoknews, hanoinews, theanh28",https://www.tiktok.com/@hanoinews.theanh28/video/7501627703422962962,,Take Your Ease Under The Stars - NS Records,,,
abahoatattoo,71.5K,7502050641603284245,Khách xăm Triệu Vân mà sao tô đen thui z Thỏ,2025-05-08 12:27:59,2025-05-15 01:13:58,00:59,13.6M,253.6K,799,2780,8413,"artist, tattoo, hinhxamdep, abahoatattoo, dcgr",https://www.tiktok.com/@abahoatattoo/video/7502050641603284245,7.502050730354789e+18,nhạc nền - Hoá Tattoo,1 videos,Hoá Tattoo,False
tuankiet.2000,9.7M,7501653242284166408,Bất ngờ chưa 🥰,2025-05-07 10:45:52,2025-05-15 01:14:12,00:11,11.7M,779.4K,6190,152.4K,25.4K,fyp,https://www.tiktok.com/@tuankiet.2000/video/7501653242284166408,7.354259524011806e+18,Mixset bồng bềnh vol 5,29.7K videos,VN New Track,False
beatvn_viralworld,4.7M,7501665798855904520,Tự nhiên thấy cái gì màu vàng vàng trông lạ quá ha =)))),2025-05-07 11:34:36,2025-05-15 01:14:27,00:24,12.8M,276.6K,1650,23.8K,12.2K,"beatviralworld, beatnetwork, bnetwork, beatoflife, beatvn",https://www.tiktok.com/@beatvn_viralworld/video/7501665798855904520,7.501665853516172e+18,nhạc nền - Beatvn Viral World,5 videos,Beatvn Viral World,False
kinggroup_drama,23.2K,7501641851787611399,Mọi người hãy hoan hỷ mở lòng đón nhận lại với Ns Hoài Linh đi nhé,2025-05-07 10:01:40,2025-05-15 01:14:42,00:14,11.7M,186.6K,6036,5188,9794,"hoailinh, hoailam, damvinhhung, duongtrieuvu, drama, dramashowbiz, vbiz, nguyenphuonghang, phuonghang, showbiz, fyp, hot, thuytienquanglinh, quanglinhvlog, showbizviet, hangdumuc, kinggroup_drama",https://www.tiktok.com/@kinggroup_drama/video/7501641851787611399,7.501641895576669e+18,nhạc nền - Drama Người Nổi Tiếng,13 videos,Drama Người Nổi Tiếng,False
anh.be.vui3,400.9K,7502432620886625556,Tốp ping lẩu tươi 🍲 quá nên mới phải làm v=)))) 😏,2025-05-09 13:10:16,2025-05-15 01:14:59,00:15,14.1M,439.1K,1848,32.4K,10.9K,"albertgetts, xuhuong, xyzabc",https://www.tiktok.com/@anh.be.vui3/video/7502432620886625556,7.501607470688931e+18,Vì ai em vội quên ăn sángxtình ta hai ngã,49.4K videos,𝙏𝙞𝙩 𝙈𝙪𝙨𝙞𝙘,False
to_rang162,7313,7502043710624959762,"""Cùi"" nhưng không phế",2025-05-08 12:01:05,2025-05-15 01:15:14,00:10,6.8M,332.1K,1988,26.8K,18.2K,xuhuong,https://www.tiktok.com/@to_rang162/video/7502043710624959762,7.483886321699769e+18,nhạc nền - Lưu Quang Minh Quận 8✈,5771 videos,Bi La Đen Quận 8️⃣,False
dangmukbangbo,20.5K,7501983756643781905,Game này cũng dễ,2025-05-08 08:08:26,2025-05-15 01:15:29,00:16,8.2M,38.7K,840,3858,1822,"chaoxian, laubotrieuchau, xuhuong, fyp, challenge, mukbang",https://www.tiktok.com/@dangmukbangbo/video/7501983756643781905,7.306832499580816e+18,nhạc nền - an nguyễn (dân94),17.5K videos,an nguyễn (dân94),False
tnxhhn_tinnonghangngay,106.6K,7502989610000092432,Không sao không sao Có em rồi.,2025-05-11 01:11:40,2025-05-15 01:15:43,00:16,11.1M,315.5K,13.7K,57.5K,15.7K,"tintuc, tinnongtrongngay, giadinhthanthuong, yeuthuong, vochong, xuhuongtiktok",https://www.tiktok.com/@tnxhhn_tinnonghangngay/video/7502989610000092432,7.445193307317095e+18,nhạc nền - Trí Nhật Piano,69.2K videos,Trí Nhật Piano,False
ankemoingay,3868,7501979609395678485,Nhờ các cao nhân hỗ trợ giúp em,2025-05-08 07:52:21,2025-05-15 01:15:59,00:13,7.9M,54.7K,1200,8251,2199,"chaoxian, laubotrieuchau, challenge, fyp, xuhuong",https://www.tiktok.com/@ankemoingay/video/7501979609395678485,7.414725509206068e+18,Điểm G nhảy hip hop,18.8K videos,Bu sì bị dễ thương 👄💅🏻,False
hangvo473,2253,7498944348927659272,Bóc trúng sít rịttt,2025-04-30 03:33:59,2025-05-15 01:16:15,00:15,1.8M,144.5K,349,4673,6214,"lehoanghiep, fyp",https://www.tiktok.com/@hangvo473/video/7498944348927659272,7.477755445256506e+18,nhạc nền - Nguyễn Lụa,2415 videos,Nguyễn Lụa,False
tttk888.vn,305.1K,7478343506247814408,tinh tế dữ chưa tôn băng pháp,2025-03-05 15:12:12,2025-05-15 01:16:31,00:23,10.2M,391.1K,2569,7885,18.1K,tiktokgiaitri,https://www.tiktok.com/@tttk888.vn/video/7478343506247814408,7.335685070639795e+18,nhạc nền - 𝐀𝐆𝐂 𝐐 𝐍 𝐊 𝐀 𝐍 ᰔᩚ,2249 videos,anhjay689,False
